Title,Column,Labels,Assignees,Initiative,Milestone
New Dashboard,To do,,LeighGardner,,Team's own Continuous Improvement and Administration
FY 2021-2023 Workplan and New Strategy Service,To do,ideation,philipe-girard,,Team's own Continuous Improvement and Administration
Ping the IITB Showcase folks again about getting the Q&A questions from our session,To do,initiative:micro-acquisitions,,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Draft Pilot IITB Directive,To do,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Job Bank - SEB-IITB agreement,To do,initiative:product,remyb2canada,initiative:product,Product Mgt - Setup Job Bank
Blog - Product Management's Job Bank use case,To do,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
MA - prepare comms to go in IITB news in Feb,To do,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Micro-acquisitions pilot: 3 - Communications
Update IT Strategy onboarding document,To do,documentation,,,Team's own Continuous Improvement and Administration
Budget for and get non-salary source of funds for Product Mgt Workshops,To do,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Software Study to capture and present data findings,To do,,"RachelMuston, philipe-girard",,Organizational Performance Measurement
Take a course on Financial Delegation in GC Campus,In progress,initiative:IT-delegation,ElminaIusifova,initiative:IT-delegation,Concept Briefing - IT Delegation of Authority/MOU
Working in the Open Strategy (2-pager),In progress,strategies,,,Z [Pending] Open First Strategy
find/document ESDC clients of Micro-procurement,In progress,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Micro-acquisitions pilot: 3 - Communications
Create Presentation Deck,In progress,initiative:iitb-diagnostic,"ElminaIusifova, philipe-girard, LeighGardner, JSantosPS",initiative:iitb-diagnostic,
Blog IITB Diagnostic Study,In progress,Blog,ElminaIusifova,,IITB Diagnostic Study
"Publish ""What we heard"" report",In progress,"Quarter 2, initiative:iitb-diagnostic","ElminaIusifova, LeighGardner, JSantosPS",initiative:iitb-diagnostic,IITB Diagnostic Study
Process Director comments,In progress,initiative:iitb-diagnostic,"ElminaIusifova, LeighGardner, JSantosPS",initiative:iitb-diagnostic,IITB Diagnostic Study
Create a mockup of Sharepoint page,In progress,,ElminaIusifova,,SharePoint Configuration
Develop Concept Briefing,In progress,initiative:IT-delegation,"ElminaIusifova, philipe-girard, LeighGardner, JSantosPS",initiative:IT-delegation,Concept Briefing - IT Delegation of Authority/MOU
Research Phase,In progress,initiative:IT-delegation,,initiative:IT-delegation,Concept Briefing - IT Delegation of Authority/MOU
Proposal Deck,In progress,,"RachelMuston, philipe-girard",,Organizational Performance Measurement
Discuss Training with Vendors,In progress,,"RachelMuston, philipe-girard",,Organizational Performance Measurement
Produce deck for CIOEC,In progress,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Business Case - Open First Center of Enablement,Reviewing / Pending,"strategies, In consultation",gcharest,,Z [Pending] Open First Strategy
MA - review french text for winning supplier email,Reviewing / Pending,initiative:micro-acquisitions,"gabrielcossette, RachelMuston, philipe-girard",initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Move TSDM and Product Mgt sharepoint to new sharepoint,Reviewing / Pending,communications,remyb2canada,,Team's own Continuous Improvement and Administration
Scope the Work - Propose to Daniel Desforges,Reviewing / Pending,initiative:software-assessments,"RachelMuston, philipe-girard",initiative:software-assessments,Sharing of Software Assessments
Testing GCExchange,Reviewing / Pending,initiative:software-assessments,RachelMuston,initiative:software-assessments,Sharing of Software Assessments
"MA - update the User guide to reference GC Forms ",Reviewing / Pending,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Move software assessment files to the new sharepoint site,Reviewing / Pending,initiative:software-assessments,RachelMuston,initiative:software-assessments,Team's own Continuous Improvement and Administration
Blog on IITB Diagnostic Study,Reviewing / Pending,"Blog, initiative:iitb-diagnostic","RachelMuston, ElminaIusifova",initiative:iitb-diagnostic,IITB Diagnostic Study
Investigate how applications get formally added to the APM inventory (CSD),Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Investigate taxonomy for Products,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Info-Tech workshop with Job Bank,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
remove time from the RUN_DATE variable,Done Enough,,,,
Research on IT organization performance measurement,Done Enough,,RachelMuston,,Team's own Continuous Improvement and Administration
Conduct Workshops (Product Mgt/Directive),Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Update status of Strategies on Website,Done Enough,website,,,Team's own Continuous Improvement and Administration
Prep for Sharepoint site migrations,Done Enough,,remyb2canada,,Team's own Continuous Improvement and Administration
PROPOSAL - new milestone on micro-missions to other IT teams within IITB,Done Enough,,,,Team's own Continuous Improvement and Administration
Blog - We are not in the software business,Done Enough,Blog,gcharest,,Team's own Continuous Improvement and Administration
Research app sustainability models,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Scan current state
Investigate the Results Portal and Internal Services Portal,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Interview feedback for CS-03s,Done Enough,initiative:hr-process,,initiative:hr-process,IM/IT Strategy and Planning HR Process
Plan Team Recruitment based on Workplan,Done Enough,initiative:hr-process,philipe-girard,initiative:hr-process,IM/IT Strategy and Planning HR Process
"Assess Next Steps - Exam, Interviews, etc",Done Enough,initiative:hr-process,philipe-girard,initiative:hr-process,IM/IT Strategy and Planning HR Process
Review CS-02 Candidates,Done Enough,initiative:hr-process,philipe-girard,initiative:hr-process,IM/IT Strategy and Planning HR Process
Create Poster and Launch on Jobs.gc.ca,Done Enough,initiative:hr-process,philipe-girard,initiative:hr-process,IM/IT Strategy and Planning HR Process
Wrap up report on Assessment tool,Done Enough,Assessment tool,"ElminaIusifova, philipe-girard",,Assessment tool 3 - Launch & Communications
Present findings to stakeholders,Done Enough,initiative:governance-study,philipe-girard,initiative:governance-study,Governance Study 4 - Implementation Phase
Get feedback from Director and DG,Done Enough,,gabrielcossette,,Sharing of Software Assessments
Broadcast Product Management initiative,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Peer Reviews
Job Bank - Proc Plan,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Setup Job Bank
MA - update the text on the website FAQ related to public servants working as suppliers,Done Enough,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Meet PSPC on their Product Management journey,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
PMIS course,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Synch with TMOR's product management work,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Get buy-in from non-IITB stakeholders (business case),Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Peer Reviews
Prepare first workshop brainstorming activity,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Team review of report structure and content,Done Enough,initiative:iitb-diagnostic,,initiative:iitb-diagnostic,IITB Diagnostic Study
Create strategies (recommendations),Done Enough,"Quarter 1, Quarter 2, initiative:iitb-diagnostic",,initiative:iitb-diagnostic,IITB Diagnostic Study
MA - Review the speaking notes for the exec directors presentation,Done Enough,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Secure Division Representatives as BI project members,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
create the sensitive document library for MA and move files over,Done Enough,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Team's own Continuous Improvement and Administration
GitHub project export,Done Enough,toil,,,
Present BI to PPRC,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Create Branch Inititaive
Schedule Kick-Off Meeting,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Synch with Pension System Team on product mgt advancement,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Create Peer Review Process Document,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Create document to share findings,Done Enough,initiative:governance-study,gcharest,initiative:governance-study,Governance Study 3 - Recommendation Phase
MA - GC Forms - Application form,Done Enough,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Put the micro-acquisition business case on our website,Done Enough,initiative:micro-acquisitions,,initiative:micro-acquisitions,Micro-acquisitions pilot: 3 - Communications
Micro-acquistion business case,Done Enough,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Micro-acquisitions pilot: 3 - Communications
Identify possible elements of governance for asynchronous decision making,Done Enough,initiative:governance-study,,initiative:governance-study,Governance Study 3 - Recommendation Phase
Create Kick-Off Presentation,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
Prepare for PPRC,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Create Branch Inititaive
Present to IITB DGComm,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Create Branch Inititaive
Present BI to PPOC,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Create Branch Inititaive
"James and Leigh added ",Done Enough,website,ElminaIusifova,,
Add Leigh and James to IT Strategy website,Done Enough,website,ElminaIusifova,,
MA - Present at the DECD weekly show and tell?,Done Enough,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Micro-acquisition pilot: Fall launch
Decide whether to restrict eligibility to under-represented groups and/or freelancers and small businesses,Done Enough,initiative:micro-acquisitions,,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Finalize minimum code Acceptance Criteria for all Micro-Acquisitions,Done Enough,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
MA - think through division of workload,Done Enough,initiative:micro-acquisitions,"RachelMuston, philipe-girard",initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Plan for and hold launch event,Done Enough,"communications, initiative:micro-acquisitions",,initiative:micro-acquisitions,Micro-acquisition pilot: Fall launch
Create Risk Register,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Create Branch Inititaive
Address EA assessment,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Create Branch Inititaive
Renew Luc Vienneau Casual Contract,Done Enough,initiative:hr-process,philipe-girard,initiative:hr-process,IM/IT Strategy and Planning HR Process
Mid-Year Reviews,Done Enough,,philipe-girard,,Team's own Continuous Improvement and Administration
TAC Presentation,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Peer Reviews
modified english version of product-management strategy,Done Enough,initiative:product,,initiative:product,Product Mgt - Produce Framework
Transition to Product Management intake criteria (EPMO),Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
SAP blueprint of product management,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
2 Pager - Amazon Style,Done Enough,strategies,,,Z [Pending] Open First Strategy
MA - Review Translation of IITB Showcase presentation,Done Enough,initiative:micro-acquisitions,"RachelMuston, remyb2canada",initiative:micro-acquisitions,Micro-acquisitions pilot: 3 - Communications
Test new consultation column,Done Enough,,"gcharest, LeighGardner",,Team's own Continuous Improvement and Administration
Blog - Product Management Part 2,Done Enough,"Blog, initiative:product",remyb2canada,initiative:product,Product Mgt - Do Peer Reviews
Fix number of sections,Done Enough,,,,Z [Pending] Open First Strategy
Exploration - Map Product Management framework elements with existing PM/Portfolio methods,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Framework
User Engagement in Service Delivery blog,Done Enough,Blog,ElminaIusifova,,
Restructure strategy,Done Enough,strategies,gcharest,,Z [Pending] Open First Strategy
Setup consultation tracker,Done Enough,strategies,gcharest,,Z [Pending] Open First Strategy
Produce Branch Initiative Charter/Plan,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Create Branch Inititaive
MA - prepare presentation for IITB influencers network,Done Enough,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Micro-acquisition pilot: Fall launch
MA - schedule presentation at IITB Influencers network,Done Enough,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Micro-acquisition pilot: Fall launch
MA - IITB newsletter item,Done Enough,initiative:micro-acquisitions,"RachelMuston, remyb2canada",initiative:micro-acquisitions,Micro-acquisition pilot: Fall launch
MA - Prepare presentation for IITB Showcase (Oct 29),Done Enough,initiative:micro-acquisitions,"RachelMuston, philipe-girard",initiative:micro-acquisitions,Micro-acquisition pilot: Fall launch
"Add governance modernization framework reference ",Done Enough,initiative:governance-study,gcharest,initiative:governance-study,Governance Study 1 - Research Phase
JC OSS - August Session Prep,Done Enough,"Open Source, Joint Councils",gcharest,,Z [Pending[ - Ongoing advice and unplanned work
Create and Consult CS-02 SOMC,Done Enough,initiative:hr-process,philipe-girard,initiative:hr-process,IM/IT Strategy and Planning HR Process
Review CS-02 Process requirements,Done Enough,initiative:hr-process,philipe-girard,initiative:hr-process,IM/IT Strategy and Planning HR Process
Present to EPMO our perspective on Product Mgt,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Business Case
JC OSS - Meet ICCS regarding OSS governance models,Done Enough,"Open Source, Joint Councils",gcharest,,Z [Pending[ - Ongoing advice and unplanned work
Blog post - micro-acquisition-pilot-update2.md,Done Enough,"Blog, initiative:micro-acquisitions",RachelMuston,initiative:micro-acquisitions,Micro-acquisitions pilot: 3 - Communications
Review Open First Strategy,Done Enough,strategies,gabrielcossette,,Z [Pending] Open First Strategy
"Provide EPMO on suggested metrics for identifying ""product status""",Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Create Branch Inititaive
"adjustments to adopt, build, buy outstanding feedback",Done Enough,website,,,Team's own Continuous Improvement and Administration
TSDM fr,Done Enough,website,ElminaIusifova,,
improved pandoc instructions,Done Enough,,RachelMuston,,Team's own Continuous Improvement and Administration
French version of the TSDM supporting document - areas of concern/outstanding feedback,Done Enough,,RachelMuston,,Team's own Continuous Improvement and Administration
MA - Review of the translated screens for how to get a GitHub account,Done Enough,initiative:micro-acquisitions,"gabrielcossette, RachelMuston",initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
MA - Review the french survey to suppliers text,Done Enough,initiative:micro-acquisitions,"gabrielcossette, RachelMuston, philipe-girard",initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
MA - Review of updated and simplified MA process documents,Done Enough,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
MA - Accessibility review - round 2,Done Enough,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
MA - add link to mailing list form to the MA website,Done Enough,initiative:micro-acquisitions,LeighGardner,initiative:micro-acquisitions,Micro-acquisitions pilot: 3 - Communications
MA - get text on the Student employment page about the MA pilot,Done Enough,initiative:micro-acquisitions,LeighGardner,initiative:micro-acquisitions,Micro-acquisitions pilot: 3 - Communications
MA - update those with admin rights on the MA repo,Done Enough,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
MA - Auto-response messages from our generic mailbox to Notify is a problem,Done Enough,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Reach out to JobBank (SEB and IITB),Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Peer Reviews
Explore APM+ for potential new M.A. opportunity,Done Enough,initiative:micro-acquisitions,remyb2canada,initiative:micro-acquisitions,Micro-acquisitions pilot: Operations and Continuous Improvement
Contributions to existing OSS repo,Done Enough,,"gcharest, smellems, RachelMuston",,Micro-acquisitions pilot: Operations and Continuous Improvement
Follow up with interviewees,Done Enough,initiative:iitb-diagnostic,LeighGardner,initiative:iitb-diagnostic,IITB Diagnostic Study
Bug fix in fr About us page,Done Enough,,RachelMuston,,Team's own Continuous Improvement and Administration
Connect with someone responsible for a Program's Architecture,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
Find who is ESDC's official responsible for service,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Do Research
Publish product management strategy on the site,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Produce Business Case
Contact MyESDC app,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Scan current state
Product mgt defs,Done Enough,initiative:product,,initiative:product,Product Mgt - Do Research
MA - prepare deck for exec directors meeting,Done Enough,initiative:micro-acquisitions,RachelMuston,initiative:micro-acquisitions,Micro-acquisitions pilot: 3 - Communications
Present to Executive Director Committee,Done Enough,initiative:product,remyb2canada,initiative:product,Product Mgt - Create Branch Inititaive
Retain HR Logistics Services from FPS,Done Enough,initiative:hr-process,philipe-girard,initiative:hr-process,IM/IT Strategy and Planning HR Process
